parent,child,lambda_val,child_size
857,862,2.338379198,8
879,882,2.78609564,8
934,937,5.035614123,8
971,977,13.07496205,8
971,978,13.07496205,8
838,840,1.599270048,7
845,848,2.088705276,7
886,889,3.273572462,7
892,918,4.114725214,7
915,922,6.361854694,7
923,926,3.043651537,7
946,950,3.361313398,7
949,958,3.644267428,7
952,974,4.630821436,7
841,846,1.977147081,6
867,870,2.470239715,6
873,876,2.692249528,6
886,890,3.273572462,6
954,960,42.34660313,6
955,962,3.937781183,6
957,964,3.794788651,6
961,965,15.25348443,6
853,858,2.314343281,5
871,874,2.68937875,5
875,878,2.764382778,5
877,880,2.78578106,5
898,906,3.813062566,5
934,938,5.035614123,5
940,941,6.384558829,5
944,948,4.913572379,5
951,956,3.626232864,5
975,980,18.58102472,5
851,854,2.296165233,4
869,872,2.523748078,4
897,902,2.968622225,4
899,904,2.908118707,4
898,905,3.813062566,4
903,908,2.914743335,4
909,914,2.924146759,4
915,921,6.361854694,4
926,930,3.043651537,4
940,942,6.384558829,4
939,943,4.737222906,4
861,864,2.351978261,3
882,887,4.366665001,3
882,888,4.366665001,3
894,895,2.909484412,3
893,900,2.904867968,3
926,929,3.043651537,3
954,959,42.34660313,3
957,963,3.794788651,3
965,969,49.36449874,3
965,970,49.36449874,3
838,70,1.250345504,1
838,385,1.268790441,1
838,290,1.303024622,1
838,259,1.351174154,1
838,372,1.365572042,1
838,321,1.372843979,1
838,213,1.374345992,1
838,174,1.394287956,1
838,268,1.420813511,1
838,187,1.424107434,1
838,185,1.441712165,1
838,605,1.468772291,1
838,38,1.472023146,1
838,270,1.516615206,1
838,338,1.524654796,1
838,565,1.544894648,1
838,590,1.554649916,1
838,75,1.554830301,1
838,599,1.566352672,1
838,562,1.588277138,1
838,747,1.594418041,1
839,709,1.604765126,1
840,803,2.176037155,1
839,469,1.609403083,1
840,802,2.383012861,1
839,367,1.614247142,1
840,718,3.336826378,1
839,369,1.61768198,1
840,714,11.90123317,1
839,137,1.619172641,1
840,713,19.78025419,1
840,716,19.78025419,1
840,715,19.78025419,1
839,425,1.620652275,1
839,230,1.62381453,1
839,673,1.633930307,1
839,73,1.634658802,1
839,334,1.645060567,1
839,521,1.665229713,1
839,265,1.666198173,1
839,254,1.666509325,1
839,78,1.669633229,1
839,364,1.683594652,1
839,135,1.692064213,1
839,257,1.706382686,1
839,249,1.709605399,1
839,721,1.733364686,1
839,368,1.736916406,1
839,332,1.738038488,1
839,388,1.751602074,1
839,342,1.751927649,1
839,763,1.762839235,1
839,484,1.767543196,1
839,307,1.768476265,1
839,250,1.769852325,1
839,215,1.773808449,1
839,1,1.774207999,1
839,374,1.779796488,1
839,584,1.783587886,1
839,397,1.784051801,1
839,386,1.804077375,1
839,350,1.809390982,1
839,487,1.817392582,1
839,4,1.822767603,1
839,366,1.824667949,1
839,138,1.828442292,1
839,389,1.829669026,1
839,143,1.831847376,1
839,313,1.834100693,1
839,317,1.835584029,1
839,225,1.855134001,1
839,434,1.865305694,1
839,339,1.867815122,1
839,514,1.868775905,1
839,454,1.869347683,1
839,430,1.872954228,1
839,6,1.880493735,1
839,567,1.881426677,1
839,145,1.895052257,1
839,543,1.900773578,1
839,410,1.906477554,1
839,426,1.914050573,1
839,598,1.921036203,1
839,690,1.9224873,1
839,420,1.929247648,1
839,692,1.937549284,1
839,189,1.939638783,1
839,346,1.939916438,1
839,76,1.941836625,1
839,15,1.954516288,1
839,602,1.956781314,1
839,234,1.957938189,1
839,668,1.95932065,1
841,297,1.962008832,1
841,251,1.96317879,1
843,68,2.011352239,1
844,181,2.486873709,1
841,66,1.967874917,1
843,680,2.150738731,1
844,184,3.549060041,1
841,348,1.970735246,1
843,836,2.307333339,1
844,183,3.603042864,1
841,436,1.97482818,1
843,675,2.329991551,1
844,108,6.853096373,1
843,139,2.493695759,1
844,41,10.06999508,1
845,666,1.982082217,1
846,67,1.977147081,1
843,676,2.493695759,1
843,677,2.493695759,1
843,678,2.493695759,1
844,39,14.14500105,1
844,180,14.14500105,1
844,182,14.14500105,1
845,212,1.985020194,1
846,219,2.265056688,1
845,318,1.988072901,1
846,216,4.001247795,1
845,27,1.988366481,1
846,217,4.102490268,1
846,218,4.102490268,1
846,748,4.102490268,1
845,686,1.99222263,1
845,155,1.993008345,1
845,375,1.997778502,1
845,54,2.027986016,1
845,636,2.029471166,1
845,754,2.032100894,1
845,384,2.034653547,1
845,252,2.034840602,1
845,267,2.035971069,1
845,382,2.039054743,1
845,443,2.039054743,1
845,764,2.039054743,1
845,238,2.044539856,1
845,795,2.045388833,1
845,433,2.074079935,1
845,548,2.075927715,1
845,118,2.085792773,1
847,242,2.097801269,1
848,647,2.146647246,1
847,813,2.099979623,1
848,600,3.187179258,1
847,172,2.107937261,1
848,646,3.3944962,1
847,269,2.12216436,1
848,116,3.749115303,1
847,331,2.124442051,1
848,117,3.858509494,1
848,812,3.858509494,1
848,814,3.858509494,1
847,291,2.133971545,1
847,595,2.136626168,1
847,214,2.140911154,1
847,371,2.144247173,1
847,710,2.148475866,1
847,49,2.151797986,1
847,194,2.153282144,1
847,71,2.159205404,1
847,287,2.160939698,1
847,684,2.168162577,1
847,564,2.17030596,1
849,513,2.176291762,1
850,306,2.278289082,1
849,29,2.204500134,1
850,273,2.353480109,1
849,157,2.20577541,1
850,387,2.457366982,1
849,717,2.209084081,1
850,352,2.500995943,1
849,69,2.213254927,1
850,349,2.580918769,1
849,196,2.217942244,1
850,308,2.813003801,1
849,323,2.221722892,1
850,272,2.842267293,1
850,310,2.842267293,1
850,309,2.842267293,1
849,232,2.227485519,1
849,112,2.227989574,1
849,378,2.231482802,1
849,320,2.246656907,1
849,770,2.257448934,1
849,427,2.269853829,1
849,467,2.271006643,1
849,648,2.278607792,1
851,582,2.295813318,1
852,295,2.32397807,1
852,294,2.567847419,1
853,422,2.298222322,1
854,762,2.442453923,1
852,756,2.635952566,1
853,356,2.300732928,1
854,440,2.505664219,1
854,441,2.505664219,1
854,442,2.505664219,1
853,255,2.302486604,1
855,460,2.965696156,1
856,744,3.242507945,1
853,645,2.302552964,1
855,296,3.012683022,1
856,84,3.436734339,1
856,109,3.839847662,1
857,283,2.322509768,1
858,271,2.334563055,1
859,228,3.076672095,1
860,355,3.659967103,1
856,347,5.096681686,1
857,687,2.329737887,1
858,376,2.443094129,1
859,786,3.076672095,1
860,760,4.16561127,1
856,768,5.664694387,1
857,538,2.337722329,1
858,274,2.459235728,1
858,311,2.459235728,1
858,351,2.459235728,1
859,28,3.796389256,1
860,510,4.172552484,1
856,431,9.71772,1
859,790,3.932744996,1
860,834,4.621985569,1
856,416,12.18983847,1
856,428,12.18983847,1
856,458,12.18983847,1
861,642,2.338379198,1
862,811,2.34539244,1
859,439,3.957592479,1
860,833,4.621985569,1
861,156,2.339288214,1
862,208,2.362879676,1
859,789,6.965541007,1
860,435,4.904001253,1
861,72,2.347251665,1
862,211,2.456457411,1
859,99,7.88806307,1
860,758,4.975889328,1
862,644,2.545790252,1
859,438,8.05311522,1
859,628,8.05311522,1
859,806,8.05311522,1
860,759,5.406577655,1
863,706,2.389059198,1
864,738,2.351978261,1
864,408,2.351978261,1
864,725,2.351978261,1
862,158,2.584297189,1
860,353,5.533813318,1
860,671,5.533813318,1
860,136,5.533813318,1
860,832,5.533813318,1
863,120,2.392665307,1
862,362,2.697984345,1
862,198,2.697984345,1
862,210,2.697984345,1
863,253,2.394795095,1
863,79,2.398558453,1
863,396,2.402780929,1
863,341,2.403060386,1
865,289,2.414828761,1
866,80,2.410304829,1
865,377,2.418086483,1
866,594,2.487708562,1
865,616,2.422017162,1
866,51,2.524356408,1
865,380,2.427462953,1
866,50,2.55976799,1
866,231,2.565199602,1
867,115,2.431527096,1
868,171,2.438029339,1
866,48,2.583035111,1
866,188,2.583035111,1
867,808,2.431573614,1
868,586,2.897817536,1
866,720,2.583035111,1
866,722,2.583035111,1
866,753,2.583035111,1
867,43,2.435942945,1
868,772,3.30744555,1
867,411,2.436845171,1
868,197,3.666565991,1
867,640,2.448793908,1
868,17,3.727584347,1
867,260,2.452469453,1
868,16,6.944321144,1
867,244,2.460568782,1
868,14,7.345599046,1
868,18,7.345599046,1
868,773,7.345599046,1
869,518,2.482002643,1
870,585,2.517994491,1
869,742,2.482158339,1
870,525,3.007081256,1
869,691,2.482904776,1
870,390,3.451678765,1
869,835,2.488301854,1
870,383,3.535615329,1
870,603,3.535615329,1
870,607,3.535615329,1
869,412,2.49161739,1
869,2,2.499661194,1
869,335,2.509297158,1
869,483,2.521206292,1
871,490,2.524786441,1
872,624,2.523748078,1
871,591,2.526724165,1
872,625,2.525519202,1
872,113,2.525519202,1
872,639,2.525519202,1
871,575,2.529724826,1
871,498,2.537816565,1
871,47,2.540258114,1
871,315,2.54589842,1
871,357,2.548470907,1
871,293,2.55871861,1
871,146,2.561414844,1
871,637,2.575893375,1
871,340,2.585847426,1
871,361,2.586957474,1
871,503,2.592176755,1
871,793,2.592898668,1
871,809,2.594403879,1
871,263,2.606742858,1
871,522,2.608334748,1
871,679,2.609776745,1
871,815,2.609776745,1
871,604,2.616942947,1
871,223,2.626693387,1
871,236,2.628616122,1
871,542,2.630375055,1
871,13,2.636968448,1
871,746,2.645598448,1
871,561,2.646679396,1
871,275,2.647452044,1
871,301,2.647452044,1
871,615,2.647452044,1
871,418,2.655066416,1
871,424,2.65650083,1
871,77,2.658233271,1
871,816,2.676758562,1
871,284,2.676980656,1
871,373,2.677859145,1
871,243,2.68181949,1
871,322,2.68181949,1
873,159,2.689689182,1
874,726,2.68937875,1
873,142,2.690192062,1
874,292,2.790130413,1
874,37,2.916245033,1
874,757,2.916245033,1
874,494,2.916245033,1
875,314,2.692360131,1
876,363,3.284000427,1
875,741,2.696722376,1
876,719,4.141160487,1
875,153,2.705467596,1
876,761,4.552007584,1
875,299,2.715078826,1
876,220,4.827550725,1
876,751,4.827550725,1
876,65,4.827550725,1
875,593,2.717012617,1
875,277,2.733234412,1
875,144,2.739557744,1
875,694,2.74075715,1
875,343,2.741997041,1
875,402,2.742586921,1
875,707,2.747437483,1
875,606,2.749624036,1
875,780,2.763949222,1
877,261,2.765074381,1
878,423,4.855575056,1
877,286,2.768493736,1
878,222,10.35841622,1
877,627,2.77262427,1
878,221,10.50793174,1
878,752,10.50793174,1
878,229,10.50793174,1
880,281,27.8670002,1
882,696,3.692789897,1
880,282,34.83149389,1
883,11,2.794581809,1
884,592,2.942126244,1
882,140,4.301036368,1
880,237,59.55026763,1
880,239,59.55026763,1
880,280,59.55026763,1
883,300,2.795717144,1
883,227,2.804412116,1
885,547,4.262824643,1
886,571,3.117516811,1
887,727,4.366665001,1
887,728,4.366665001,1
887,750,4.366665001,1
888,468,4.394799131,1
888,672,4.394799131,1
888,476,4.394799131,1
883,810,2.835527655,1
883,643,2.835527655,1
885,546,4.407550088,1
886,241,3.21964872,1
883,344,2.84149419,1
885,81,18.44671774,1
885,141,24.57897636,1
889,508,3.493711733,1
890,485,3.480441156,1
890,566,3.480441156,1
892,285,2.963355683,1
885,520,26.56219879,1
889,452,4.0856144,1
890,482,3.577123251,1
893,304,2.902608421,1
892,336,3.068293852,1
885,697,27.0134059,1
889,496,4.107399638,1
889,533,4.107399638,1
890,481,4.000995884,1
890,524,4.000995884,1
890,486,4.000995884,1
893,633,2.903000172,1
895,298,3.076410323,1
895,302,3.076410323,1
895,370,3.076410323,1
892,381,3.255322501,1
885,507,27.29609298,1
885,688,27.29609298,1
885,497,27.29609298,1
889,509,4.107399638,1
889,589,4.107399638,1
889,398,4.107399638,1
898,745,2.932995627,1
892,150,3.294458814,1
900,9,2.949580872,1
900,303,2.949580872,1
900,365,2.949580872,1
901,683,3.145219261,1
902,724,3.719261345,1
898,207,3.770557443,1
892,258,3.435062452,1
903,667,2.910514077,1
904,330,2.908118707,1
901,97,3.145765356,1
902,195,4.337073969,1
902,693,4.337073969,1
902,193,4.337073969,1
892,358,3.510923756,1
904,235,3.245206143,1
904,276,3.245206143,1
904,354,3.245206143,1
901,651,3.433971255,1
905,755,4.040975255,1
906,527,4.084643574,1
892,325,3.545777711,1
908,278,3.253074161,1
901,192,3.465825586,1
905,191,5.363450364,1
905,152,5.363450364,1
905,224,5.363450364,1
906,392,5.025194841,1
892,245,3.72537271,1
909,563,2.916363654,1
908,279,3.316334332,1
908,379,3.316334332,1
908,316,3.316334332,1
901,653,3.500705682,1
901,650,3.500705682,1
906,391,5.879571442,1
906,89,5.879571442,1
906,429,5.879571442,1
892,246,3.771181236,1
911,545,3.008437935,1
912,505,3.077380909,1
901,394,3.580306498,1
892,360,3.951152077,1
913,743,2.924146759,1
914,64,3.471347321,1
911,262,3.125759865,1
912,556,3.126850422,1
913,489,2.926223558,1
914,56,3.908728395,1
914,55,3.908728395,1
914,63,3.908728395,1
911,473,3.496037028,1
912,475,3.432984712,1
915,626,3.784038541,1
916,407,3.987433934,1
917,264,4.647227433,1
918,7,4.114725214,1
913,699,2.957659317,1
911,559,4.02801157,1
912,787,3.525108061,1
915,106,3.808395478,1
916,817,4.015497894,1
917,256,5.145185785,1
918,247,5.153695303,1
913,74,2.959273429,1
911,459,5.280822711,1
915,515,4.186788714,1
915,122,4.186788714,1
916,121,4.084830541,1
917,288,6.185030186,1
918,345,6.853773878,1
913,674,2.966110367,1
911,472,5.772038879,1
919,446,5.159854713,1
920,98,3.796506092,1
916,611,4.20556229,1
917,324,9.795107005,1
918,149,13.88152904,1
913,186,2.970597536,1
911,474,7.242822458,1
911,560,7.242822458,1
911,558,7.242822458,1
919,531,9.084695542,1
920,445,3.88387374,1
921,100,6.361854694,1
922,444,10.58436661,1
916,608,4.244808734,1
917,148,13.80263725,1
918,327,15.54312311,1
918,8,15.54312311,1
918,337,15.54312311,1
913,730,3.000239987,1
919,448,16.16389324,1
920,447,4.706292106,1
921,114,7.345451107,1
921,393,7.345451107,1
921,395,7.345451107,1
922,818,19.24990477,1
916,123,4.379419889,1
917,359,14.68573269,1
913,23,3.003260457,1
919,801,16.415902,1
920,568,4.731518212,1
922,641,30.75747065,1
916,610,4.379419889,1
917,326,19.38697414,1
917,328,19.38697414,1
917,689,19.38697414,1
913,819,3.020157405,1
919,784,17.1125536,1
920,42,5.800375877,1
922,580,35.89123877,1
916,83,4.742885057,1
916,652,4.742885057,1
916,609,4.742885057,1
913,477,3.027223186,1
919,504,18.54028595,1
920,788,8.292366791,1
922,491,58.49959553,1
922,629,58.49959553,1
922,492,58.49959553,1
919,785,25.99651669,1
920,530,8.419980849,1
924,488,3.033884237,1
919,529,26.96139927,1
919,570,26.96139927,1
919,569,26.96139927,1
920,587,9.827674356,1
924,579,3.093906611,1
920,805,13.44543677,1
920,111,13.44543677,1
920,638,13.44543677,1
928,415,3.186743379,1
929,669,3.043651537,1
929,168,3.043651537,1
929,705,3.043651537,1
930,830,6.59365128,1
931,437,3.089021292,1
932,206,3.069336811,1
928,62,3.294175489,1
930,3,6.938330422,1
930,739,6.938330422,1
930,749,6.938330422,1
934,161,3.770791341,1
931,829,3.089021292,1
932,199,3.241189958,1
932,405,3.241189958,1
928,421,3.294175489,1
935,618,3.39704752,1
936,549,4.018593029,1
931,740,3.089141871,1
932,125,4.820568105,1
928,26,3.903717151,1
935,32,3.537846052,1
937,200,7.210895675,1
938,660,5.035614123,1
931,622,3.089664114,1
932,820,5.805465933,1
928,419,4.372029172,1
935,825,3.752795156,1
939,534,4.076600319,1
940,478,4.938780749,1
937,129,7.760920289,1
938,162,6.259122936,1
931,532,3.102575824,1
932,399,9.653673665,1
928,417,4.682431048,1
935,632,4.561289379,1
939,413,4.105504001,1
937,661,16.09180179,1
938,167,6.441512648,1
938,700,6.441512648,1
938,701,6.441512648,1
931,767,3.11027514,1
932,406,10.40433309,1
932,501,10.40433309,1
932,736,10.40433309,1
928,414,5.493838545,1
935,110,4.970284734,1
941,479,10.71511708,1
942,708,17.23228621,1
937,731,16.61357231,1
928,519,8.903138161,1
935,776,5.878978079,1
943,824,5.651162352,1
941,240,20.35941421,1
942,170,20.84758113,1
942,179,20.84758113,1
942,712,20.84758113,1
937,226,18.14938187,1
945,578,3.200534757,1
946,58,3.1656343,1
928,512,11.29082398,1
935,147,5.979527945,1
943,19,5.901269933,1
943,90,5.901269933,1
943,774,5.901269933,1
947,572,5.269603477,1
948,617,5.817060198,1
941,305,27.28419628,1
941,248,27.28419628,1
941,461,27.28419628,1
937,201,19.6670074,1
937,130,19.6670074,1
937,202,19.6670074,1
945,782,3.341592965,1
946,837,3.331620779,1
928,30,12.77934978,1
935,92,6.096088554,1
947,550,5.894361694,1
948,5,5.856674086,1
945,804,3.526477352,1
946,685,3.356431333,1
928,455,15.91428008,1
928,799,15.91428008,1
928,10,15.91428008,1
935,775,6.436026862,1
947,536,6.176887098,1
948,511,6.100246814,1
948,91,6.100246814,1
948,516,6.100246814,1
945,57,3.538786303,1
935,103,6.729664857,1
947,583,9.333618173,1
949,765,3.369369478,1
950,695,4.969301327,1
935,119,6.743991305,1
952,733,3.800689403,1
950,88,13.61459909,1
935,40,7.464661997,1
953,596,11.75362335,1
954,493,40.70183747,1
955,0,3.721076142,1
956,456,5.845939847,1
952,711,3.865066076,1
957,209,3.755123528,1
958,821,18.68886235,1
950,823,14.86187677,1
935,33,7.560396775,1
953,573,13.00204595,1
956,22,6.850818478,1
952,190,4.082389378,1
958,822,29.34434074,1
950,614,18.76906417,1
935,160,7.899108166,1
953,535,13.68360028,1
959,471,137.3560388,1
959,462,137.3560388,1
959,523,137.3560388,1
960,457,43.21819278,1
961,61,4.30871769,1
961,577,4.30871769,1
962,24,5.416506103,1
956,781,8.303102649,1
956,783,8.303102649,1
956,779,8.303102649,1
952,173,4.118873019,1
963,31,3.878734074,1
963,588,3.878734074,1
963,581,3.878734074,1
964,737,3.837026913,1
958,771,48.75963729,1
950,127,18.77129015,1
950,657,18.77129015,1
950,658,18.77129015,1
935,128,8.55648626,1
953,792,15.10252699,1
960,450,45.18945009,1
961,25,13.38955218,1
962,104,5.830929211,1
952,178,4.239962031,1
964,409,3.927675699,1
958,126,51.69218634,1
935,698,8.938295283,1
953,800,17.00739407,1
960,526,51.24691795,1
962,34,6.819341202,1
952,404,4.239962031,1
964,495,3.966768193,1
958,613,59.92504911,1
958,87,59.92504911,1
958,656,59.92504911,1
953,791,18.81174371,1
960,451,59.4548805,1
960,463,59.4548805,1
960,449,59.4548805,1
966,601,17.53673186,1
962,175,7.05102799,1
962,553,7.05102799,1
962,796,7.05102799,1
952,165,4.296661212,1
964,681,3.966768193,1
964,665,3.966768193,1
964,134,3.966768193,1
967,401,9.424809225,1
968,20,9.615850101,1
953,102,20.32980956,1
969,105,49.36449874,1
969,470,49.36449874,1
969,798,49.36449874,1
970,634,79.85499962,1
970,797,79.85499962,1
970,807,79.85499962,1
966,45,24.54345117,1
952,794,4.516930261,1
968,826,9.689142894,1
953,574,21.34234321,1
966,554,26.37271873,1
971,453,11.89343753,1
972,506,9.804425931,1
968,432,9.897361839,1
953,630,36.28761517,1
966,35,29.54182499,1
974,576,5.729927411,1
972,464,16.28406925,1
968,400,9.954866946,1
953,101,39.35523643,1
966,44,29.86885433,1
975,502,5.121225293,1
976,403,5.150480382,1
974,664,15.48942519,1
977,46,15.03499128,1
978,233,13.07496205,1
972,537,16.59592215,1
968,729,11.31781766,1
953,635,59.1496827,1
953,631,59.1496827,1
953,107,59.1496827,1
966,177,42.00436637,1
975,500,6.534415365,1
976,732,5.285647495,1
974,703,16.84675942,1
977,649,15.9649816,1
978,597,19.39584966,1
972,319,24.75516064,1
968,659,11.81933564,1
966,176,45.44848137,1
966,36,45.44848137,1
966,555,45.44848137,1
975,723,6.620999708,1
976,154,5.367850264,1
974,204,17.1315653,1
977,682,16.02157446,1
978,539,21.24887089,1
972,466,26.45622644,1
968,93,20.67616104,1
975,517,9.385015048,1
976,85,5.996257257,1
974,60,20.33197764,1
974,59,20.33197764,1
974,831,20.33197764,1
977,86,26.8101723,1
978,151,30.50425094,1
972,480,30.65025869,1
972,544,30.65025869,1
968,778,20.75504488,1
975,205,9.785520393,1
976,766,6.242685023,1
977,124,32.85939018,1
978,670,32.02956831,1
972,465,30.65025869,1
968,777,25.47475637,1
975,499,12.82316685,1
976,53,6.262426522,1
977,655,49.40811158,1
977,612,49.40811158,1
977,654,49.40811158,1
978,169,35.2498067,1
978,540,35.2498067,1
978,541,35.2498067,1
972,329,37.09672398,1
968,619,26.74392981,1
968,94,26.74392981,1
968,620,26.74392981,1
975,734,13.24248021,1
976,769,6.574041159,1
972,266,51.77386066,1
975,164,14.01605347,1
976,52,7.526925562,1
972,557,59.7198468,1
975,203,14.13770624,1
976,12,7.792367229,1
976,82,7.792367229,1
976,528,7.792367229,1
972,551,59.94860287,1
975,828,17.38679711,1
972,333,64.45338456,1
972,552,64.45338456,1
972,312,64.45338456,1
975,702,18.24752889,1
979,21,20.19789031,1
980,131,21.41863398,1
979,735,20.47350206,1
980,95,23.55338296,1
979,704,25.45149154,1
980,621,23.90884061,1
980,662,23.90884061,1
980,827,23.90884061,1
979,166,26.73174276,1
979,163,27.3103116,1
979,663,28.34381789,1
979,133,34.32116687,1
979,96,50.24201624,1
979,623,50.24201624,1
979,132,50.24201624,1
